,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,duration_of_stay
10289,Renaissance Hotel,1,34,2017,February,8,24,2,3,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,48.0,0,1,5
10290,Renaissance Hotel,1,191,2017,February,8,24,2,5,2,0.0,0,BB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,314.0,0,Transient,44.64,0,0,7
10291,Renaissance Hotel,1,46,2017,February,8,25,0,1,2,0.0,0,BB,ESP,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,68.0,0,2,1
10292,Renaissance Hotel,1,13,2017,February,8,25,0,1,2,0.0,0,BB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,80.0,0,0,1
10293,Renaissance Hotel,1,19,2017,February,8,25,1,1,2,2.0,0,BB,PRT,TA/TO,0,0,0,C,C,0,No Deposit,240.0,0,Transient,69.0,0,0,2
10294,Renaissance Hotel,1,19,2017,February,8,25,1,1,2,0.0,0,BB,ESP,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,62.0,0,3,2
10295,Renaissance Hotel,1,16,2017,February,8,25,1,1,2,2.0,0,BB,PRT,TA/TO,0,0,0,C,C,0,No Deposit,240.0,0,Transient,69.0,0,0,2
10296,Renaissance Hotel,1,18,2017,February,8,25,1,1,2,2.0,0,BB,PRT,TA/TO,0,0,0,C,C,0,No Deposit,240.0,0,Transient,69.0,0,0,2
10297,Renaissance Hotel,1,18,2017,February,8,25,1,1,2,0.0,0,BB,ESP,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,74.0,0,0,2
10298,Renaissance Hotel,1,22,2017,February,8,25,1,1,2,0.0,0,BB,ESP,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,54.0,0,2,2
10300,Renaissance Hotel,1,48,2017,February,8,25,1,1,2,0.0,0,HB,ESP,Direct,0,0,0,A,A,0,No Deposit,250.0,0,Transient,84.0,0,0,2
10301,Renaissance Hotel,1,29,2017,February,8,25,1,1,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,261.0,0,Transient,51.0,0,0,2
10302,Renaissance Hotel,1,78,2017,February,8,25,2,1,2,0.0,0,BB,ESP,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,42.0,0,1,3
10303,Renaissance Hotel,1,21,2017,February,8,25,2,1,2,0.0,0,BB,ESP,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,52.0,0,2,3
10304,Renaissance Hotel,1,26,2017,February,8,25,2,1,2,0.0,0,HB,ESP,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,80.0,0,0,3
10305,Renaissance Hotel,1,35,2017,February,8,25,2,1,2,0.0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,171.0,0,Transient,60.0,0,0,3
10306,Renaissance Hotel,1,18,2017,February,8,25,2,1,2,0.0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,241.0,0,Transient,64.68,0,0,3
10307,Renaissance Hotel,1,12,2017,February,8,25,2,1,1,0.0,0,HB,FRA,Direct,0,0,0,A,A,3,No Deposit,250.0,0,Transient,62.8,0,1,3
10308,Renaissance Hotel,1,54,2017,February,8,25,2,1,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,48.0,0,1,3
10309,Renaissance Hotel,1,82,2017,February,8,25,2,1,2,0.0,0,BB,ESP,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,42.0,0,2,3
10310,Renaissance Hotel,1,75,2017,February,8,25,2,1,2,0.0,0,BB,ESP,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,52.0,0,1,3
10311,Renaissance Hotel,1,45,2017,February,8,25,2,1,2,1.0,0,BB,FRA,Direct,0,0,0,D,D,0,No Deposit,250.0,0,Transient,69.0,0,2,3
10312,Renaissance Hotel,1,26,2017,February,8,25,2,1,2,0.0,0,BB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,72.0,0,0,3
10314,Renaissance Hotel,1,38,2017,February,8,25,2,1,2,0.0,0,BB,GBR,TA/TO,0,0,0,A,A,0,No Deposit,314.0,0,Transient,38.4,0,0,3
10316,Renaissance Hotel,1,29,2017,February,8,25,2,1,2,0.0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,58.67,0,1,3
10317,Renaissance Hotel,1,21,2017,February,8,25,2,1,2,0.0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient-Party,60.0,0,2,3
10318,Renaissance Hotel,1,38,2017,February,8,25,2,1,2,0.0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,171.0,0,Transient,60.0,0,0,3
10319,Renaissance Hotel,1,37,2017,February,8,25,2,2,2,0.0,0,BB,GBR,Direct,0,0,0,F,F,0,No Deposit,250.0,0,Transient,77.0,0,1,4
10320,Renaissance Hotel,1,186,2017,February,8,25,2,2,2,0.0,0,HB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,84.6,0,1,4
10321,Renaissance Hotel,1,172,2017,February,8,25,2,3,1,0.0,0,BB,NLD,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,46.8,0,1,5
10322,Renaissance Hotel,1,116,2017,February,8,25,2,5,1,0.0,0,BB,AUT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,47.14,0,0,7
10324,Renaissance Hotel,1,184,2017,February,9,26,2,1,2,0.0,0,HB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,82.8,0,1,3
10325,Renaissance Hotel,1,33,2017,February,9,26,2,1,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,48.0,0,0,3
10326,Renaissance Hotel,1,17,2017,February,9,26,2,1,2,2.0,0,HB,PRT,TA/TO,0,0,0,C,C,1,No Deposit,314.0,0,Transient,71.46,0,0,3
10327,Renaissance Hotel,1,40,2017,February,9,26,2,1,1,0.0,0,BB,PRT,Direct,0,0,0,A,A,0,No Deposit,250.0,0,Transient,40.0,0,0,3
10329,Renaissance Hotel,1,15,2017,February,9,26,2,4,2,0.0,0,BB,NLD,Direct,0,0,0,F,F,0,No Deposit,250.0,0,Transient,76.5,0,0,6
10330,Renaissance Hotel,1,2,2017,February,9,27,1,0,2,0.0,0,HB,ESP,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,92.0,0,1,1
10331,Renaissance Hotel,1,53,2017,February,9,27,1,1,2,0.0,0,HB,ESP,Direct,0,0,0,A,A,0,No Deposit,250.0,0,Transient,54.0,0,0,2
10332,Renaissance Hotel,1,16,2017,February,9,27,1,2,2,0.0,0,BB,FRA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,60.0,0,1,3
10333,Renaissance Hotel,1,79,2017,February,9,27,1,4,1,0.0,0,BB,ROU,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,72.8,0,1,5
10334,Renaissance Hotel,1,49,2017,February,9,28,0,2,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,Non Refund,332.0,0,Transient,35.0,0,0,2
10338,Renaissance Hotel,1,49,2017,February,9,28,0,2,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,C,1,Non Refund,332.0,0,Transient,35.0,0,0,2
10347,Renaissance Hotel,1,0,2017,February,9,28,0,2,1,0.0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,314.0,0,Transient,44.8,0,0,2
10353,Renaissance Hotel,1,63,2017,February,9,28,0,2,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,Non Refund,332.0,14,Transient,35.0,0,0,2
10360,Renaissance Hotel,1,187,2017,February,9,28,0,5,2,0.0,0,BB,IRL,Direct,0,0,0,E,E,0,No Deposit,250.0,0,Transient,55.8,0,0,5
10361,Renaissance Hotel,1,194,2017,March,9,1,2,5,2,2.0,0,BB,DNK,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,87.0,0,1,7
10362,Renaissance Hotel,1,181,2017,March,9,1,6,19,2,0.0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,440.0,0,Transient-Party,58.6,0,0,25
10368,Renaissance Hotel,1,26,2017,March,9,1,6,19,2,0.0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,440.0,0,Transient-Party,62.0,0,0,25
10369,Renaissance Hotel,1,50,2017,March,9,1,6,19,2,0.0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,440.0,0,Transient-Party,55.8,0,0,25
10370,Renaissance Hotel,1,240,2017,March,9,1,4,10,1,0.0,0,BB,ESP,TA/TO,0,0,0,A,A,0,No Deposit,314.0,0,Transient,26.64,0,0,14
10372,Renaissance Hotel,1,84,2017,March,9,1,6,19,2,0.0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,440.0,0,Transient-Party,55.8,0,0,25
10380,Renaissance Hotel,1,181,2017,March,9,1,6,19,2,0.0,0,HB,PRT,TA/TO,0,0,0,A,A,1,No Deposit,440.0,0,Transient-Party,62.0,0,0,25
10385,Renaissance Hotel,1,182,2017,March,9,1,8,22,2,2.0,0,HB,RUS,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,130.0,0,1,30
10386,Renaissance Hotel,1,21,2017,March,9,2,0,3,2,0.0,0,HB,BEL,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,112.0,0,1,3
10388,Renaissance Hotel,1,5,2017,March,9,3,0,1,1,0.0,0,BB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,80.0,0,0,1
10394,Renaissance Hotel,1,39,2017,March,9,4,1,1,2,0.0,0,BB,PRT,Direct,0,0,0,E,E,0,No Deposit,250.0,0,Transient,101.3,0,0,2
10395,Renaissance Hotel,1,266,2017,March,9,4,1,1,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,2,No Deposit,314.0,0,Transient,33.6,0,0,2
10396,Renaissance Hotel,1,11,2017,March,9,4,2,2,2,0.0,0,BB,IRL,Direct,0,0,0,E,E,0,No Deposit,250.0,0,Transient,75.0,0,0,4
10397,Renaissance Hotel,1,82,2017,March,9,4,2,5,2,0.0,0,BB,GBR,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,70.0,0,0,7
10398,Renaissance Hotel,1,168,2017,March,9,4,2,5,2,0.0,0,BB,GBR,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,47.54,0,0,7
10399,Renaissance Hotel,1,167,2017,March,9,4,2,6,2,0.0,0,BB,GBR,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,47.45,0,0,8
10400,Renaissance Hotel,1,316,2017,March,9,4,6,15,2,0.0,0,BB,CN,TA/TO,0,0,0,E,E,1,No Deposit,240.0,0,Transient,55.8,0,0,21
10401,Renaissance Hotel,1,9,2017,March,10,5,1,0,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0,Transient,34.0,0,0,1
10402,Renaissance Hotel,1,15,2017,March,10,5,2,0,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,60.0,0,1,2
10403,Renaissance Hotel,1,30,2017,March,10,5,2,0,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,60.0,0,1,2
10404,Renaissance Hotel,1,25,2017,March,10,5,2,1,1,0.0,0,BB,GBR,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,71.0,0,0,3
10405,Renaissance Hotel,1,17,2017,March,10,5,2,1,2,0.0,0,BB,ITA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,68.0,0,0,3
10406,Renaissance Hotel,1,270,2017,March,10,5,2,2,2,0.0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,26.0,0,Transient,55.8,0,0,4
10408,Renaissance Hotel,1,312,2017,March,10,5,2,5,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,298.0,0,Transient-Party,30.0,0,0,7
10410,Renaissance Hotel,1,312,2017,March,10,5,2,5,1,0.0,0,BB,PRT,TA/TO,0,0,0,E,E,1,No Deposit,298.0,0,Transient-Party,45.0,0,0,7
10413,Renaissance Hotel,1,53,2017,March,10,5,2,5,1,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,298.0,0,Transient-Party,30.0,0,0,7
10415,Renaissance Hotel,1,171,2017,March,10,5,2,5,2,0.0,0,BB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,298.0,0,Transient-Party,45.0,0,0,7
10416,Renaissance Hotel,1,35,2017,March,10,5,2,5,2,0.0,0,BB,FRA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,60.0,0,0,7
10419,Renaissance Hotel,1,312,2017,March,10,5,2,5,2,0.0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,298.0,0,Transient-Party,56.0,0,0,7
10428,Renaissance Hotel,1,312,2017,March,10,5,2,5,1,0.0,0,HB,PRT,TA/TO,0,0,0,E,E,1,No Deposit,298.0,0,Transient-Party,58.0,0,0,7
10429,Renaissance Hotel,1,124,2017,March,10,5,4,6,1,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,273.0,0,Transient-Party,28.8,0,0,10
10430,Renaissance Hotel,1,195,2017,March,10,5,4,6,1,0.0,0,HB,PRT,TA/TO,0,0,0,A,A,1,No Deposit,273.0,0,Transient-Party,40.14,0,0,10
10431,Renaissance Hotel,1,4,2017,March,10,6,1,0,1,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,8.0,0,Transient,30.0,0,0,1
10432,Renaissance Hotel,1,6,2017,March,10,6,1,0,2,0.0,0,BB,PRT,Direct,0,0,0,A,A,0,No Deposit,250.0,0,Transient,55.0,0,0,1
10434,Renaissance Hotel,1,3,2017,March,10,6,1,3,1,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,146.0,0,Transient,32.0,0,0,4
10435,Renaissance Hotel,1,142,2017,March,10,6,1,5,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,241.0,0,Transient,37.8,0,0,6
10437,Renaissance Hotel,1,19,2017,March,10,7,0,2,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,8.0,0,Transient,60.0,0,0,2
10438,Renaissance Hotel,1,21,2017,March,10,7,0,2,2,2.0,0,BB,FIN,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,105.0,0,1,2
10439,Renaissance Hotel,1,220,2017,March,10,7,0,3,2,0.0,0,BB,IRL,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient-Party,37.8,0,1,3
10440,Renaissance Hotel,1,218,2017,March,10,7,2,5,2,2.0,0,BB,GBR,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,87.0,0,0,7
10442,Renaissance Hotel,1,8,2017,March,10,8,0,2,2,2.0,0,BB,AUS,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,105.0,0,0,2
10443,Renaissance Hotel,1,25,2017,March,10,8,0,3,2,0.0,0,BB,GBR,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,68.0,0,0,3
10444,Renaissance Hotel,1,321,2017,March,10,8,4,10,2,0.0,0,HB,NLD,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,66.6,0,1,14
10445,Renaissance Hotel,1,211,2017,March,10,9,0,1,1,0.0,0,BB,USA,Direct,0,0,0,A,A,0,No Deposit,250.0,0,Transient,33.3,0,0,1
10447,Renaissance Hotel,1,107,2017,March,10,9,0,2,1,0.0,0,Undefined,PRT,TA/TO,0,0,0,E,E,1,No Deposit,96.0,0,Transient-Party,72.0,0,0,2
10448,Renaissance Hotel,1,115,2017,March,10,9,0,3,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,65.0,0,1,3
10449,Renaissance Hotel,1,86,2017,March,10,9,0,3,2,0.0,0,Undefined,PRT,TA/TO,0,0,0,A,A,0,Non Refund,67.0,0,Transient,46.0,0,0,3
10458,Renaissance Hotel,1,17,2017,March,10,9,0,3,2,0.0,0,BB,PRT,Direct,0,0,0,D,D,0,No Deposit,250.0,0,Transient,56.7,0,0,3
10470,Renaissance Hotel,1,26,2017,March,10,9,0,3,2,0.0,0,BB,GBR,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,60.0,0,1,3
10471,Renaissance Hotel,1,100,2017,March,10,9,0,3,2,0.0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,75.0,0,1,3
10472,Renaissance Hotel,1,146,2017,March,10,9,0,3,2,0.0,0,Undefined,PRT,TA/TO,0,0,0,A,A,0,Non Refund,67.0,60,Transient,46.0,0,0,3
10478,Renaissance Hotel,1,16,2017,March,10,9,0,3,1,0.0,0,BB,GBR,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,55.0,0,0,3
10485,Renaissance Hotel,1,142,2017,March,10,9,2,3,2,2.0,0,BB,GBR,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,82.0,0,1,5
10486,Renaissance Hotel,1,142,2017,March,10,9,2,3,2,0.0,0,BB,GBR,Direct,0,0,0,F,F,0,No Deposit,250.0,0,Transient,60.3,0,0,5
10488,Renaissance Hotel,1,142,2017,March,10,9,2,3,2,0.0,0,BB,GBR,Direct,0,0,0,F,F,0,No Deposit,250.0,0,Transient,66.3,0,0,5
10491,Renaissance Hotel,1,125,2017,March,10,9,2,4,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,42.0,0,2,6
10492,Renaissance Hotel,1,64,2017,March,10,9,2,5,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,C,1,No Deposit,242.0,0,Transient,60.0,0,1,7
10493,Renaissance Hotel,1,18,2017,March,10,10,0,2,2,0.0,0,BB,ESP,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,60.0,0,1,2
10494,Renaissance Hotel,1,14,2017,March,10,10,0,2,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,60.0,0,2,2
10495,Renaissance Hotel,1,16,2017,March,10,10,0,2,2,0.0,0,BB,PRT,Direct,0,0,0,F,G,0,No Deposit,250.0,0,Transient,80.0,0,0,2
10496,Renaissance Hotel,1,14,2017,March,10,10,0,2,2,2.0,0,BB,PRT,TA/TO,0,0,0,C,C,0,No Deposit,240.0,0,Transient,75.0,0,1,2
10497,Renaissance Hotel,1,32,2017,March,10,10,2,3,2,0.0,0,BB,POL,Direct,0,0,0,G,G,0,No Deposit,250.0,0,Transient,97.0,0,0,5
10498,Renaissance Hotel,1,31,2017,March,10,10,2,3,2,2.0,0,BB,POL,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,105.0,0,0,5
10499,Renaissance Hotel,1,148,2017,March,10,10,2,5,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,C,1,No Deposit,242.0,0,Transient,41.4,0,2,7
10500,Renaissance Hotel,1,46,2017,March,10,11,0,1,2,0.0,0,BB,ESP,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,80.0,0,2,1
10501,Renaissance Hotel,1,81,2017,March,10,11,0,1,2,0.0,0,BB,ESP,TA/TO,0,0,0,A,C,1,No Deposit,240.0,0,Transient,60.0,0,1,1
10502,Renaissance Hotel,1,22,2017,March,10,11,2,2,2,0.0,0,BB,GBR,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,60.0,0,1,4
10503,Renaissance Hotel,1,88,2017,March,10,11,2,5,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,2,No Deposit,177.0,0,Transient-Party,34.0,0,0,7
10504,Renaissance Hotel,1,57,2017,March,10,11,2,5,2,0.0,0,HB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,298.0,0,Transient-Party,64.0,0,0,7
10505,Renaissance Hotel,1,9,2017,March,10,11,2,5,2,0.0,0,BB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,6.0,0,Transient,48.0,0,0,7
10506,Renaissance Hotel,1,15,2017,March,10,11,2,5,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,C,0,No Deposit,177.0,0,Transient-Party,34.0,0,0,7
10507,Renaissance Hotel,1,39,2017,March,10,11,2,5,2,2.0,0,BB,POL,TA/TO,0,0,0,H,H,0,No Deposit,240.0,0,Transient,105.0,0,0,7
10508,Renaissance Hotel,1,339,2017,March,10,11,2,5,2,0.0,0,HB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,298.0,0,Transient-Party,64.0,0,0,7
10509,Renaissance Hotel,1,332,2017,March,10,11,2,5,2,0.0,0,HB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,298.0,0,Transient-Party,71.0,0,0,7
10511,Renaissance Hotel,1,339,2017,March,10,11,2,5,1,0.0,0,HB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,298.0,0,Transient-Party,51.0,0,0,7
10512,Renaissance Hotel,1,57,2017,March,10,11,2,5,1,0.0,0,HB,PRT,TA/TO,0,0,0,D,D,0,No Deposit,298.0,0,Transient-Party,51.0,0,0,7
10518,Renaissance Hotel,1,39,2017,March,10,11,2,5,3,1.0,0,BB,POL,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,100.0,0,0,7
10520,Renaissance Hotel,1,46,2017,March,10,11,2,5,2,0.0,0,BB,POL,Direct,0,0,0,F,F,0,No Deposit,250.0,0,Transient,89.0,0,0,7
10525,Renaissance Hotel,1,252,2017,March,10,11,4,10,2,0.0,0,BB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,242.0,0,Transient,55.8,0,0,14
10526,Renaissance Hotel,1,2,2017,March,11,12,1,0,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,65.0,0,2,1
10528,Renaissance Hotel,1,66,2017,March,11,12,2,1,2,0.0,0,BB,ESP,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,70.0,0,0,3
10529,Renaissance Hotel,1,39,2017,March,11,12,2,5,2,2.0,0,BB,RUS,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,100.0,0,0,7
10534,Renaissance Hotel,1,133,2017,March,11,13,1,0,2,0.0,0,BB,USA,TA/TO,0,0,0,A,A,2,No Deposit,240.0,0,Transient,42.0,0,2,1
10535,Renaissance Hotel,1,112,2017,March,11,13,1,0,1,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,66.0,0,Transient-Party,36.0,0,0,1
10536,Renaissance Hotel,1,146,2017,March,11,13,1,0,1,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,66.0,34,Transient-Party,36.0,0,0,1
10537,Renaissance Hotel,1,24,2017,March,11,13,1,0,1,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,66.0,0,Transient-Party,32.0,0,0,1
10538,Renaissance Hotel,1,24,2017,March,11,13,1,0,2,0.0,0,BB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,66.0,0,Transient-Party,36.0,0,0,1
10539,Renaissance Hotel,1,58,2017,March,11,13,1,1,2,2.0,0,BB,SWE,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,100.0,0,0,2
10540,Renaissance Hotel,1,27,2017,March,11,13,1,2,2,2.0,0,BB,GBR,TA/TO,0,0,0,C,C,0,No Deposit,240.0,0,Transient,75.0,0,0,3
10541,Renaissance Hotel,1,115,2017,March,11,13,1,2,2,0.0,0,HB,FRA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,97.33,0,1,3
10542,Renaissance Hotel,1,208,2017,March,11,13,1,4,2,0.0,0,BB,GBR,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,37.8,0,0,5
10543,Renaissance Hotel,1,0,2017,March,11,14,0,1,1,0.0,0,BB,PRT,TA/TO,0,0,0,A,C,0,No Deposit,241.0,0,Transient,53.2,0,1,1
10544,Renaissance Hotel,1,61,2017,March,11,14,0,3,2,2.0,0,BB,BRA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,100.0,0,0,3
10545,Renaissance Hotel,1,140,2017,March,11,14,0,4,2,0.0,0,BB,ITA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient-Party,42.0,0,1,4
10546,Renaissance Hotel,1,168,2017,March,11,14,0,5,1,0.0,0,BB,FRA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,37.8,0,1,5
10552,Renaissance Hotel,1,177,2017,March,11,14,0,5,1,0.0,0,BB,HUN,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,37.0,0,0,5
10553,Renaissance Hotel,1,157,2017,March,11,14,0,5,2,0.0,0,BB,HRV,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,37.8,0,2,5
10555,Renaissance Hotel,1,278,2017,March,11,14,2,5,2,0.0,0,HB,PRT,TA/TO,0,0,0,D,D,1,No Deposit,314.0,0,Transient,69.04,0,0,7
10556,Renaissance Hotel,1,19,2017,March,11,14,2,5,2,0.0,0,HB,FRA,Direct,0,0,0,F,F,1,No Deposit,250.0,0,Transient,112.0,0,0,7
10557,Renaissance Hotel,1,94,2017,March,11,14,2,7,1,0.0,0,BB,ITA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,0,Transient,55.0,0,0,9
10558,Renaissance Hotel,1,144,2017,March,11,14,4,14,2,0.0,0,HB,PRT,TA/TO,0,0,0,A,C,1,No Deposit,440.0,0,Transient-Party,62.0,0,0,18
10559,Renaissance Hotel,1,144,2017,March,11,14,4,14,1,0.0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,440.0,0,Transient-Party,44.0,0,0,18
10560,Renaissance Hotel,1,194,2017,March,11,14,4,14,2,0.0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,440.0,50,Transient-Party,62.0,0,0,18
10561,Renaissance Hotel,1,144,2017,March,11,14,4,14,2,0.0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,440.0,0,Transient-Party,62.0,0,0,18
10574,Renaissance Hotel,1,194,2017,March,11,14,4,14,1,0.0,0,HB,PRT,TA/TO,0,0,0,A,A,0,No Deposit,440.0,50,Transient-Party,44.0,0,0,18
10575,Renaissance Hotel,1,177,2017,March,11,14,0,5,1,0.0,0,BB,FRA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,37.8,0,1,5
10576,Renaissance Hotel,1,159,2017,March,11,14,6,15,2,0.0,0,HB,PRT,TA/TO,0,0,0,E,E,0,No Deposit,75.0,0,Transient,68.4,0,1,21
10582,Renaissance Hotel,1,285,2017,March,11,15,2,5,2,0.0,0,BB,GBR,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,55.8,0,0,7
10583,Renaissance Hotel,1,211,2017,March,11,15,2,5,2,0.0,0,BB,ITA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,37.8,0,0,7
